A1BG	1	19	58345178	58353492	-1	19q13.43	13.43
NAT2	10	8	18391282	18401218	1	8p22	-22
ADA	100	20	44619522	44652233	-1	20q13.12	13.12
CDH2	1000	18	27950966	28177130	-1	18q12.1	12.1
AKT3	10000	1	243488233	243851079	-1	1q43	43
MED6	10001	14	70581257	70600690	-1	14q24.2	24.2
NR2E3	10002	15	71792638	71818259	1	15q23	23
SIGLEC14	100049587	19	51642553	51646801	-1	19q13.41	13.41
ACOT8	10005	20	45841721	45857405	-1	20q13.12	13.12
ABI1	10006	10	26746593	26861087	-1	10p12.1	-12.1
GNPDA1	10007	5	141991749	142013041	-1	5q31.3	31.3
KCNE3	10008	11	74454841	74467729	-1	11q13.4	13.4
ZBTB33	10009	X	120250752	120258398	1	Xq24	24
CDH3	1001	16	68636189	68722616	1	16q22.1	22.1
TANK	10010	2	161136908	161236230	1	2q24.2	24.2
POM121C	100101267	7	75416786	75486299	-1	7q11.23	11.23
GAGE8	100101629	X	49589529	49596827	1	Xp11	-11
SRA1	10011	5	140537340	140558252	-1	5q31.3	31.3
FAM86JP	100125556	3	125916620	125930024	1	3q21.2	21.2
ZNF737	100129842	19	20535825	20565809	-1	19p12	-12
HDAC6	10013	X	48801377	48824982	1	Xp11.23	-11.23
HSFX2	100130086	X	149592512	149595314	-1	Xq28	28
RPL7P32	100130892	7	108510233	108510976	1	7q31.1	31.1
UBE2DNL	100131816	X	84934151	84934890	1	Xq21.1	21.1
FAM27E3	100131997	9	67717411	67719178	-1	9q21.11	21.11
KIR2DS2	100132285	19	54738243	54752150	1	19q13.4	13.4
NBPF10	100132406	1	146064711	146229000	-1	1q21.1	21.1
GOLGA8F	100132565	15	28378587	28391990	1	15q13.1	13.1
GOLGA8DP	100132979	15	23157366	23170711	1	15q11.2	11.2
CD24	100133941	6	106969831	106975627	-1	6q21	21
JMJD7	100137047	15	41828092	41837581	1	15q15.1	15.1
PLA2G4B	100137049	15	41837775	41848147	1	15q15.1	15.1
HDAC5	10014	17	44076746	44123702	-1	17q21.31	21.31
VTRNA3-1P	100144435	X	53462209	53462310	1	Xp11.22	-11.22
PDCD6IP	10015	3	33798571	33869707	1	3p22.3	-22.3
PDCD6	10016	5	271621	314974	1	5p15.33	-15.33
BCL2L10	10017	15	52109263	52112775	-1	15q21.2	21.2
